Realm Name,Export Time,PMktPrice Date,Reserved,Item ID,Item Name,AH MarketPrice Coppers,AH Quantity,AH MarketPrice,AH MinimumPrice,14-day Median Market Price,Median Market Price StdDev,14-day Todays PMktPrice,PMktPrice StdDev,Daily Price Change,Avg Daily Posted,Avg Estimated Daily Sold,Estimated Demand
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,35,Bent Staff,25756574,1,2575.6574,2575.6574,2804.78,28.98,2760.82,20.8,-0.0017,1.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,38,Recruit's Shirt,199999,3,19.9999,19.9999,99.5,221.06,139.51,213.52,-0.0317,2,0.14,0.07
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,39,Recruit's Pants,7884151,1,788.4151,788.4151,717.82,124.87,839.53,63.6,0.0337,2.86,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,40,Recruit's Boots,17087061,2,1708.7061,1708.7061,1304.43,198.18,1552.09,119.33,0.0292,4.07,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,43,Squire's Boots,2587453,2,258.7453,258.7453,196.2,24.41,231.52,13.71,0.0248,2.71,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,44,Squire's Pants,9472393,1,947.2393,947.2393,709.9,73.35,827.3,45.21,0.0186,1.93,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,45,Squire's Shirt,884000,3,88.4,88.4,124.44,112.62,124.86,98.14,-0.04,3.57,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,48,Footpad's Pants,0,0,0,0,10348.23,154.5,10455.45,105.41,0.0021,0.86,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,49,Footpad's Shirt,980000000,1,98000,98000,95000,2000,98230.81,1248.39,0.0034,1.29,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,51,Neophyte's Boots,0,0,0,0,1483.54,274.64,1892.06,194.79,0.0274,3.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,52,Neophyte's Pants,71569999,1,7156.9999,7156.9999,6800.08,0.3,6799.77,0.27,0,3.29,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,53,Neophyte's Shirt,197999,2,19.7999,19.7999,113,82.85,71.25,79.5,-0.0612,1.43,0.07,0.049
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,55,Apprentice's Boots,37924709,1,3792.4709,3792.4709,3659.04,86.46,3767.53,39.46,0.0048,2.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,56,Apprentice's Robe,33606353,1,3360.6353,3360.6353,3202.11,79.74,3311.26,35.38,0.0052,2.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,57,Acolyte's Robe,0,0,0,0,2554.86,9947.99,23667.56,4540.62,0.38,0.86,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,59,Acolyte's Shoes,0,0,0,0,3277.38,0,3277.38,0,0,0.43,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,117,Tough Jerky,153,3,0.0153,0.0153,0.02,0,0.01,0,-0.0203,50.29,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,118,Minor Healing Potion,18266,17,1.8266,1.8262,0.01,0.29,0.02,0.29,-0.1039,71.93,11.93,0.1659
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,121,Thug Boots,74950000,1,7495,7495,16995,5223.72,7027.04,1682.98,-0.0724,1,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,127,Trapper's Shirt,0,0,0,0,142000,0,142000,0,0,0.79,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,129,Rugged Trapper's Boots,21499999,2,2149.9999,2149.9999,2300,372.79,2176.6,378.38,-0.0029,2.64,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,139,Brawler's Pants,34829468,1,3482.9468,3482.9468,9283,1756.38,7823.39,1652.12,-0.0171,0.93,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,140,Brawler's Boots,0,0,0,0,4781.19,3.1,4777.39,1.49,-0.0002,0.43,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,147,Rugged Trapper's Pants,1649546270,2,164954.627,164954.627,84434.39,33850.63,132160.62,20216.94,0.077,3,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,159,Refreshing Spring Water,2925,11,0.2925,0.2925,0.48,0.38,0.23,0.16,-0.1111,9.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,236,Cured Leather Armor,2066930,1,206.6931,206.6931,175.77,15.2,199.2,4.43,0.0196,1.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,422,Dwarven Mild,0,0,0,0,0.03,17.14,21.81,14.53,0.2997,2.93,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,647,Destiny,250000000,1,25000,25000,218000,124673.28,155934.97,102469.97,0.0105,2.71,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,720,Brawler Gloves,25100498,1,2510.0498,2510.0498,2686.94,350.07,2266.38,269.47,-0.0124,4.64,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,723,Goretusk Liver,0,0,0,0,0.04,0.32,0.37,0.29,0.2488,33.5,3.57,0.1066
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,727,Notched Shortsword,150000,2,15,15,8.88,22.01,42.43,14.98,0.1758,2.71,0.36,0.1328
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,754,Shortsword of Vengeance,1709986,4,170.9986,170.9986,200,26.61,159.88,17.69,-0.0247,10.5,0.07,0.0067
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,756,Tunnel Pick,500000000,1,50000,50000,50000,12500,42105.26,8077.48,-0.0328,1,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,765,Silverleaf,2143,278,0.2143,0.14,0.6,0.67,0.81,0.69,0.0212,419.57,151.93,0.3621
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,767,Long Bo Staff,0,0,0,0,2216.77,729.9,2496.66,566.88,0.0466,1.21,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,768,Lumberjack Axe,0,0,0,0,15,0,15,0,0,0.14,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,769,Chunk of Boar Meat,0,0,0,0,0.75,1.71,1.74,1.63,0.0357,17.07,8.86,0.519
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,774,Malachite,6930,18,0.693,0.693,0.53,0.44,0.77,0.44,0.0352,40.93,7.64,0.1867
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,776,Vendetta,350176695,3,35017.6695,35017.6695,26198.13,47.14,26123.72,30.52,-0.0003,4.5,0,0
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,783,Light Hide,3563,9,0.3563,0.3563,0.45,0.87,0.15,0.32,-0.15,26.43,3.93,0.1487
US - Khaz'goroth / Alliance,10/03/2017 22:28:24,10/03/2017,N/A,785,Mageroyal,12500,94,1.25,1.1859,0.92,1,1.26,0.98,0.0024,411.07,152.57,0.3712
